,Volcano_Name,Volcano_Type,Country,Region,Subregion,epoch_period,Last_Eruption,Latitude,Longitude,population_within_5km,population_within_10km,population_within_30km,population_within_100km,Summit,Elevation
268,Cumbal,Stratovolcano,Colombia,South America,Colombia,holocene,1926 CE,0.95,-77.87,1405.0,10206.0,244853.0,1800919.0,4764,15630
269,"Cumbres,  Las",Stratovolcano,Mexico,México and Central America,Mexico,holocene,3920 BCE,19.15,-97.27,113.0,1923.0,315004.0,6365085.0,3940,12927
272,Dabbahu,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,2005 CE,12.595,40.48,204.0,1150.0,36494.0,540735.0,1401,4596
273,Dabbayra,Shield,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,12.38,40.07,804.0,3324.0,47053.0,1946949.0,1302,4272
275,Dakataua,Caldera,Papua New Guinea,Melanesia and Australia,New Britain,holocene,1895 CE,-5.094,150.094,1147.0,1147.0,3743.0,113954.0,408,1339
276,Dallol,Explosion crater,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,2011 CE,14.242,40.3,461.0,670.0,2372.0,820823.0,-48,-157
277,Dama Ali,Shield,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,1631 CE,11.28,41.63,24.0,1944.0,40013.0,353949.0,1068,3504
278,Damavand,Stratovolcano,Iran,Middle East and Indian Ocean,Middle East (western),holocene,5350 BCE,35.951,52.109,27.0,2295.0,59171.0,11945981.0,5670,18602
280,Dariganga Volcanic Field,Pyroclastic cone,Mongolia,Kamchatka and Mainland Asia,Mongolia,holocene,Unknown - Evidence Credible,45.754,114.279,18247.0,18247.0,18247.0,25280.0,1778,5833
281,Darwin,Shield,Ecuador,South America,Galapagos Islands,holocene,1813 CE,-0.18,-91.28,190.0,190.0,343.0,2366.0,1330,4364
282,"Daun, Bukit",Stratovolcano,Indonesia,Indonesia,Sumatra,holocene,Unknown - Unrest / Holocene,-3.38,102.37,4088.0,42410.0,425096.0,2318233.0,2467,8094
284,Davis Lake,Volcanic field,United States,Canada and Western USA,USA (Oregon),holocene,2790 BCE,43.57,-121.82,1440.0,1440.0,7483.0,164597.0,2163,7096
285,Dawson Strait Group,Volcanic field,Papua New Guinea,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,holocene,1350 CE,-9.62,150.88,5388.0,5388.0,7721.0,80476.0,500,1640
287,Dempo,Stratovolcano,Indonesia,Indonesia,Sumatra,holocene,2017 CE,-4.016,103.121,124.0,9613.0,96058.0,2307584.0,3142,10308
289,Descabezado Grande,Stratovolcano,Chile,South America,Central Chile and Argentina,holocene,1933 CE,-35.58,-70.75,39.0,142.0,3454.0,704116.0,3953,12969
290,Devils Garden,Volcanic field,United States,Canada and Western USA,USA (Oregon),holocene,Unknown - Evidence Uncertain,43.512,-120.861,51.0,51.0,287.0,162601.0,1698,5571
291,"Dhamar, Harras of",Volcanic field,Yemen,Middle East and Indian Ocean,Middle East (southern),holocene,1937 CE,14.57,44.67,791276.0,791276.0,791276.0,5778965.0,3500,11483
292,"Diables, Morne aux",Lava dome,Dominica,West Indies,West Indies,holocene,Unknown - Evidence Credible,15.612,-61.43,8048.0,12036.0,33148.0,479470.0,861,2825
293,"Diablotins, Morne",Stratovolcano,Dominica,West Indies,West Indies,holocene,Unknown - Evidence Uncertain,15.503,-61.397,423.0,9775.0,69935.0,513702.0,1430,4692
294,Diamond Craters,Volcanic field,United States,Canada and Western USA,USA (Oregon),holocene,5610 BCE,43.1,-118.75,66.0,66.0,136.0,6969.0,1435,4708
296,Dieng Volcanic Complex,Complex,Indonesia,Indonesia,Java,holocene,2021 CE,-7.2,109.879,1092929.0,1092929.0,1886942.0,24381814.0,2565,8415
298,Dofan,Shield,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,9.35,40.13,1900.0,12452.0,54928.0,2900053.0,1151,3776
300,Dona Juana,Stratovolcano,Colombia,South America,Colombia,holocene,1906 CE,1.5,-76.936,1524.0,5372.0,160615.0,1626081.0,4137,13573
301,Dotsero,Maar,United States,Canada and Western USA,USA (Colorado),holocene,2200 BCE,39.661,-107.035,725.0,4821.0,30534.0,182405.0,2230,7316
306,Dukono,Complex,Indonesia,Indonesia,Halmahera,holocene,2022 CE,1.693,127.894,1575.0,3348.0,101506.0,393070.0,1229,4032
308,Durango Volcanic Field,Pyroclastic cone,Mexico,México and Central America,Mexico,holocene,Unknown - Evidence Credible,24.15,-104.45,571282.0,571282.0,571282.0,797133.0,2075,6808
312,East Chamo Basin,Pyroclastic cone,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,5.708,37.713,78416.0,78416.0,194759.0,2991755.0,1150,3773
315,East Ziway,Fissure vent,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,7.874,38.902,85845.0,85845.0,432279.0,6051149.0,1889,6198
318,Ebulobo,Stratovolcano,Indonesia,Indonesia,Lesser Sunda Islands,holocene,1969 CE,-8.817,121.191,1278.0,24149.0,140204.0,674614.0,2096,6877
319,"Eburru, Ol Doinyo",Complex,Kenya,Africa and Red Sea,Africa (eastern),holocene,Unknown - Evidence Credible,-0.65,36.22,460.0,9365.0,323529.0,7992639.0,2856,9370
320,Ecuador,Shield,Ecuador,South America,Galapagos Islands,holocene,1150 CE,-0.02,-91.546,135.0,135.0,193.0,894.0,790,2592
323,Egon,Stratovolcano,Indonesia,Indonesia,Lesser Sunda Islands,holocene,2008 CE,-8.676,122.455,818.0,23263.0,250257.0,868670.0,1661,5449
325,Elbrus,Stratovolcano,Russia,Mediterranean and Western Asia,Western Asia,holocene,50 CE,43.351,42.442,26.0,195.0,5718.0,1469719.0,5642,18510
327,Elmenteita Badlands,Pyroclastic cone,Kenya,Africa and Red Sea,Africa (eastern),holocene,Unknown - Evidence Credible,-0.52,36.27,134553.0,134553.0,445904.0,6117963.0,2126,6975
330,Emuruangogolak,Shield,Kenya,Africa and Red Sea,Africa (eastern),holocene,1910 CE,1.5,36.33,80.0,252.0,4448.0,445177.0,1285,4216
333,Erciyes Dagi,Stratovolcano,Turkey,Mediterranean and Western Asia,Turkey,holocene,6880 BCE,38.531,35.447,1715.0,8036.0,767813.0,1817720.0,3864,12677
335,Erta Ale,Shield,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,2022 CE,13.6,40.67,2685.0,2796.0,8857.0,235083.0,613,2011
336,Esan,Lava dome,Japan,"Japan, Taiwan, Marianas",Hokkaido,holocene,1874 CE,41.805,141.166,1734.0,5831.0,33197.0,916560.0,618,2028
341,Esteli,Fissure vent,Nicaragua,México and Central America,Nicaragua,holocene,Unknown - Evidence Uncertain,13.17,-86.4,133804.0,133804.0,246244.0,2574633.0,899,2949
342,Etna,Stratovolcano,Italy,Mediterranean and Western Asia,Italy,holocene,2022 CE,37.748,14.999,78.0,3291.0,1016540.0,3052770.0,3320,10892
343,Etorofu-Atosanupuri [Atosanupuri],Stratovolcano,Japan,Kuril Islands,Kuril Islands,holocene,1932 CE,44.808,147.131,1.0,289.0,644.0,4311.0,1206,3957
348,Fayal,Stratovolcano,Portugal,Atlantic Ocean,Azores,holocene,1958 CE,38.576,-28.713,1514.0,13757.0,24414.0,50663.0,1041,3415
349,Fentale,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,1820 CE,8.975,39.93,1919.0,14201.0,169357.0,3482286.0,2007,6585
350,Fernandina,Shield,Ecuador,South America,Galapagos Islands,holocene,2020 CE,-0.37,-91.55,129.0,129.0,208.0,1972.0,1476,4843
352,Flores,Volcanic field,Guatemala,México and Central America,Guatemala,holocene,Unknown - Evidence Credible,14.308,-89.992,205145.0,205145.0,397357.0,7489933.0,1600,5249
353,Flores,Stratovolcano,Portugal,Atlantic Ocean,Azores,holocene,950 BCE,39.462,-31.216,1054.0,4560.0,5825.0,5865.0,914,2999
354,Fogo,Stratovolcano,Cape Verde,Atlantic Ocean,Cape Verde Islands,holocene,2015 CE,14.95,-24.35,189.0,13254.0,37650.0,267298.0,2829,9281
355,Fonuafo'ou,Submarine,Tonga,New Zealand to Fiji,Tonga Islands,holocene,1936 CE,-20.32,-175.42,302.0,302.0,532.0,69016.0,-17,-56
356,Fonualei,Stratovolcano,Tonga,New Zealand to Fiji,Tonga Islands,holocene,1957 CE,-18.023,-174.317,71.0,71.0,91.0,17857.0,188,617
358,Fort Portal,Tuff cone,Uganda,Africa and Red Sea,Africa (central),holocene,2120 BCE,0.7,30.25,242914.0,242914.0,498815.0,4167189.0,1615,5299
359,Fort Selkirk,Volcanic field,Canada,Canada and Western USA,Canada,holocene,Unknown - Evidence Uncertain,62.93,-137.38,6.0,6.0,6.0,491.0,1239,4065
360,"Fournaise, Piton de la",Shield,France,Middle East and Indian Ocean,Indian Ocean (western),holocene,2022 CE,-21.244,55.708,55859.0,55859.0,246792.0,717820.0,2632,8635
364,Fuego,Stratovolcano,Guatemala,México and Central America,Guatemala,holocene,2022 CE,14.473,-90.88,1373.0,54332.0,1016339.0,7677809.0,3763,12346
365,Fueguino,Lava dome,Chile,South America,Southern Chile and Argentina,holocene,1820 CE,-54.97,-70.262,18.0,78.0,294.0,1296.0,157,515
366,Fuerteventura,Fissure vent,Spain,Atlantic Ocean,Canary Islands,holocene,Unknown - Evidence Credible,28.358,-14.02,1432.0,8752.0,52038.0,226781.0,529,1736
367,Fujisan,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,1708 CE,35.361,138.728,570.0,1759.0,906969.0,25022187.0,3776,12388
368,Fukue,Shield,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,holocene,400 BCE,32.657,128.849,18334.0,40407.0,61450.0,704523.0,315,1033
370,Fukutoku-Oka-no-Ba,Submarine,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,2021 CE,24.285,141.481,11.0,19.0,19.0,951.0,-29,-95
371,Furnas,Stratovolcano,Portugal,Atlantic Ocean,Azores,holocene,1630 CE,37.77,-25.32,1333.0,7310.0,87865.0,153182.0,805,2641
373,Gabillema,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,11.08,41.27,248.0,772.0,12626.0,373968.0,1459,4787
374,Gada Ale,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,13.975,40.408,101.0,605.0,4827.0,618972.0,287,942
376,Galeras,Complex,Colombia,South America,Colombia,holocene,2014 CE,1.22,-77.37,705.0,120817.0,630777.0,1700248.0,4276,14029
377,Gallego,Volcanic field,Solomon Islands,Melanesia and Australia,Bougainville and Solomon Islands,holocene,Unknown - Evidence Uncertain,-9.35,159.73,10017.0,10017.0,81587.0,169626.0,1000,3281
378,Galunggung,Stratovolcano,Indonesia,Indonesia,Java,holocene,1984 CE,-7.25,108.058,4781.0,66495.0,2382939.0,23897342.0,2168,7113
379,Gamalama,Stratovolcano,Indonesia,Indonesia,Halmahera,holocene,2018 CE,0.8,127.33,103429.0,204820.0,308691.0,536972.0,1715,5627
381,Gamkonora,Stratovolcano,Indonesia,Indonesia,Halmahera,holocene,2007 CE,1.38,127.53,3354.0,12744.0,61376.0,627128.0,1635,5364
384,Garibaldi Lake,Volcanic field,Canada,Canada and Western USA,Canada,holocene,Unknown - Evidence Credible,49.933,-123.0,6635.0,6635.0,28109.0,2218089.0,2316,7598
385,Garove,Stratovolcano,Papua New Guinea,Melanesia and Australia,New Britain,holocene,Unknown - Evidence Credible,-4.687,149.511,4259.0,5887.0,6388.0,18704.0,368,1207
386,Garua Harbour,Volcanic field,Papua New Guinea,Melanesia and Australia,New Britain,holocene,Unknown - Evidence Uncertain,-5.3,150.07,12090.0,12090.0,44354.0,123676.0,565,1854
387,Gaua,Stratovolcano,Vanuatu,Melanesia and Australia,Vanuatu,holocene,2011 CE,-14.27,167.5,166.0,1200.0,2848.0,8834.0,797,2615
388,Gedamsa,Caldera,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,8.357,39.188,216008.0,216008.0,744211.0,8000105.0,1873,6145
389,Gede-Pangrango,Stratovolcano,Indonesia,Indonesia,Java,holocene,1957 CE,-6.786,106.983,2500.0,154390.0,2315469.0,40640105.0,3026,9928
390,Genovesa,Shield,Ecuador,South America,Galapagos Islands,holocene,Unknown - Evidence Credible,0.32,-89.958,197.0,197.0,197.0,2665.0,64,210
391,Ghegham Volcanic Ridge,Volcanic field,Armenia,Mediterranean and Western Asia,Western Asia,holocene,1900 BCE,40.283,45.0,1265153.0,1265153.0,1265153.0,3151168.0,3597,11801
394,"Gloria, La",Volcanic field,Mexico,México and Central America,Mexico,holocene,Unknown - Evidence Credible,19.33,-97.25,108512.0,108512.0,290739.0,5697562.0,3500,11483
395,Gollu Dag,Lava dome,Turkey,Mediterranean and Western Asia,Turkey,holocene,Unknown - Evidence Uncertain,38.25,34.57,835.0,20644.0,155618.0,2049981.0,2143,7031
396,Goodenough,Volcanic field,Papua New Guinea,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,holocene,Unknown - Evidence Credible,-9.358,150.246,7639.0,7639.0,17932.0,127955.0,220,722
399,Graciosa,Stratovolcano,Portugal,Atlantic Ocean,Azores,holocene,1950 BCE,39.02,-27.97,2500.0,5941.0,6153.0,96656.0,402,1319
400,Gran Canaria,Fissure vent,Spain,Atlantic Ocean,Canary Islands,holocene,40 CE,28.0,-15.58,1101.0,8049.0,697199.0,1119998.0,1950,6398
401,Granada,Fissure vent,Nicaragua,México and Central America,Nicaragua,holocene,Unknown - Evidence Credible,11.9,-85.979,105952.0,137880.0,678798.0,2722372.0,250,820
