,Volcano_Name,Volcano_Type,Country,Region,Subregion,epoch_period,Last_Eruption,Latitude,Longitude,population_within_5km,population_within_10km,population_within_30km,population_within_100km,Summit,Elevation
907,Planchon-Peteroa,Stratovolcano,Chile,South America,Central Chile and Argentina,holocene,2019 CE,35,35,6.0,48.0,1345.0,634959.0,3977,13048
908,"Plat Pays, Morne",Stratovolcano,Dominica,West Indies,West Indies,holocene,1270 CE,15,15,11227.0,38372.0,57856.0,557207.0,940,3084
909,Platanar,Stratovolcano,Costa Rica,México and Central America,Costa Rica,holocene,Unknown - Evidence Credible,10,10,620.0,40382.0,339271.0,3381523.0,2267,7438
912,Poas,Stratovolcano,Costa Rica,México and Central America,Costa Rica,holocene,2019 CE,10,10,1947.0,11107.0,950796.0,3411023.0,2697,8848
913,Pocdol Mountains,Compound,Philippines,Philippines and SE Asia,Luzon,holocene,Unknown - Unrest / Holocene,13,13,2281.0,116612.0,808931.0,3440360.0,1102,3615
914,Popa,Stratovolcano,Burma (Myanmar),Philippines and SE Asia,Southeast Asia,holocene,6050 BCE,20,20,1108.0,22922.0,452931.0,5923206.0,1518,4980
915,Popocatepetl,Stratovolcano,Mexico,México and Central America,Mexico,holocene,2022 CE,19,19,325.0,2584.0,634054.0,26509510.0,5393,17694
916,Porak,Stratovolcano,Armenia,Mediterranean and Western Asia,Western Asia,holocene,778 BCE,40,40,194.0,955.0,62882.0,1713373.0,3029,9938
918,Prestahnukur,Subglacial,Iceland,Iceland and Arctic Ocean,Iceland (southwestern),holocene,3350 BCE,64,64,60.0,60.0,233.0,183485.0,1385,4544
920,"Prieto, Cerro",Lava dome,Mexico,México and Central America,Mexico,holocene,Unknown - Evidence Uncertain,32,32,4506.0,15945.0,571710.0,1308761.0,223,732
924,Pulosari,Stratovolcano,Indonesia,Indonesia,Java,holocene,Unknown - Evidence Credible,6,6,5739.0,42356.0,739785.0,20059788.0,1324,4344
925,Pululahua,Caldera,Ecuador,South America,Ecuador,holocene,290 CE,0,0,534403.0,534403.0,1192411.0,3330856.0,3356,11010
926,Puntiagudo-Cordon Cenizos,Stratovolcano,Chile,South America,Central Chile and Argentina,holocene,1850 CE,40,40,30.0,284.0,5666.0,698814.0,2493,8179
927,Purace,Stratovolcano,Colombia,South America,Colombia,holocene,1977 CE,2,2,1465.0,7152.0,335698.0,1751540.0,4650,15256
929,Putana,Stratovolcano,Chile,South America,"Northern Chile, Bolivia and Argentina",holocene,1810 CE,22,22,24.0,80.0,1609.0,12788.0,5884,19304
930,Puyehue-Cordon Caulle,Stratovolcano,Chile,South America,Central Chile and Argentina,holocene,2012 CE,40,40,129.0,783.0,7163.0,515357.0,2236,7336
931,Puyuhuapi,Pyroclastic cone,Chile,South America,Southern Chile and Argentina,holocene,Unknown - Evidence Credible,44,44,759.0,819.0,1063.0,17135.0,524,1719
932,Qualibou,Caldera,Saint Lucia,West Indies,West Indies,holocene,1766 CE,13,13,87921.0,87921.0,172439.0,690495.0,777,2549
933,Quetrupillan,Stratovolcano,Chile,South America,Central Chile and Argentina,holocene,255 CE,39,39,129.0,518.0,11191.0,269087.0,2360,7743
934,"Quill, The",Stratovolcano,Netherlands,West Indies,West Indies,holocene,250 CE,17,17,2195.0,2195.0,8361.0,134936.0,601,1972
935,Quilotoa,Caldera,Ecuador,South America,Ecuador,holocene,1280 CE,0,0,40429.0,40429.0,124306.0,4333779.0,3914,12841
936,Quimsachata,Lava dome,Peru,South America,Peru,holocene,4450 BCE,14,14,5061.0,9561.0,85048.0,580016.0,3848,12625
937,Rabaul,Pyroclastic shield,Papua New Guinea,Melanesia and Australia,New Britain,holocene,2014 CE,4,4,3311.0,43531.0,199361.0,252121.0,688,2257
938,Ragang,Stratovolcano,Philippines,Philippines and SE Asia,Mindanao,holocene,1916 CE,7,7,447.0,2646.0,331796.0,6423725.0,2790,9154
939,"Rahat, Harrat",Volcanic field,Saudi Arabia,Middle East and Indian Ocean,Middle East (southern),holocene,1256 CE,23,23,138380.0,1010115.0,1010115.0,1010115.0,1744,5722
942,Rajabasa,Stratovolcano,Indonesia,Indonesia,Sumatra,holocene,Unknown - Unrest / Holocene,5,5,3534.0,144855.0,557060.0,7750607.0,1281,4203
943,Rakkibetsudake [Demon],Stratovolcano,Japan,Kuril Islands,Kuril Islands,holocene,Unknown - Evidence Credible,45,45,69.0,150.0,453.0,4180.0,1205,3953
944,Ranakah,Lava dome,Indonesia,Indonesia,Lesser Sunda Islands,holocene,1991 CE,8,8,1283.0,63314.0,291790.0,860496.0,2350,7710
945,Ranau,Caldera,Indonesia,Indonesia,Sumatra,holocene,Unknown - Evidence Uncertain,4,4,12275.0,12275.0,21279.0,939197.0,1854,6083
947,Rapa Nui,Shield,Chile,South America,Pacific Ocean (Chilean Islands),holocene,Unknown - Evidence Credible,27,27,698.0,4029.0,4091.0,4091.0,501,1644
949,Raung,Stratovolcano,Indonesia,Indonesia,Java,holocene,2021 CE,8,8,152.0,572.0,581515.0,8123987.0,3260,10696
950,Rausudake,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Hokkaido,holocene,1800 CE,44,44,35.0,4623.0,8574.0,218325.0,1660,5446
951,Raususan [Mendeleev],Stratovolcano,Japan,Kuril Islands,Kuril Islands,holocene,1880 CE,43,43,236.0,1783.0,3527.0,114486.0,882,2894
956,"Resago, Volcan",Pyroclastic cone,Chile,South America,Central Chile and Argentina,holocene,Unknown - Evidence Credible,36,36,35.0,196.0,2095.0,268547.0,1890,6201
957,Reventador,Stratovolcano,Ecuador,South America,Ecuador,holocene,2022 CE,0,0,484.0,963.0,4403.0,2619647.0,3562,11686
958,Reykjanes,Crater rows,Iceland,Iceland and Arctic Ocean,Iceland (southwestern),holocene,1831 CE,63,63,13995.0,13995.0,15542.0,192922.0,140,459
959,Riendengan-Sempu,Caldera,Indonesia,Indonesia,Sulawesi,holocene,Unknown - Unrest / Holocene,1,1,263169.0,263169.0,507642.0,1671136.0,1549,5082
960,Rincon de la Vieja,Complex,Costa Rica,México and Central America,Costa Rica,holocene,2022 CE,10,10,271.0,1428.0,78668.0,659105.0,1916,6286
