,Volcano_Name,Volcano_Type,Country,Region,Subregion,epoch_period,Last_Eruption,Latitude,Longitude,population_within_5km,population_within_10km,population_within_30km,population_within_100km,Summit,Elevation
1094,St. Catherine,Stratovolcano,Grenada,West Indies,West Indies,holocene,Unknown - Evidence Credible,12,12,8561.0,41976.0,84210.0,93321.0,840,2756
1095,St. Helens,Stratovolcano,United States,Canada and Western USA,USA (Washington),holocene,2008 CE,46,46,78.0,427.0,2221.0,2173101.0,2549,8363
1096,St. Michael,Shield,United States,Alaska,Alaska (western),holocene,Unknown - Evidence Credible,63,63,662.0,662.0,662.0,2625.0,715,2346
1098,St. Paul Island,Shield,United States,Alaska,Alaska (western),holocene,1280 BCE,57,57,582.0,582.0,582.0,783.0,203,666
1101,Stromboli,Stratovolcano,Italy,Mediterranean and Western Asia,Italy,holocene,2022 CE,38,38,2225.0,2225.0,3894.0,1347563.0,924,3031
1104,Suchitan,Stratovolcano,Guatemala,México and Central America,Guatemala,holocene,Unknown - Evidence Credible,14,14,4149.0,49376.0,421074.0,8257118.0,2042,6699
1106,Sulu Range,Stratovolcano,Papua New Guinea,Melanesia and Australia,New Britain,holocene,Unknown - Unrest / Holocene,5,5,298.0,1543.0,15051.0,135039.0,610,2001
1107,Sumaco,Stratovolcano,Ecuador,South America,Ecuador,holocene,1895 CE,0,0,39.0,324.0,8384.0,679867.0,3990,13091
1108,Sumbing,Stratovolcano,Indonesia,Indonesia,Sumatra,holocene,1921 CE,2,2,3.0,304.0,49583.0,1209448.0,2507,8225
1109,Sumbing,Stratovolcano,Indonesia,Indonesia,Java,holocene,1730 CE,7,7,15294.0,310361.0,2425607.0,25707858.0,3371,11060
1111,Sundoro,Stratovolcano,Indonesia,Indonesia,Java,holocene,1971 CE,7,7,52462.0,496751.0,2086299.0,24996512.0,3147,10325
1112,Suoh,Caldera,Indonesia,Indonesia,Sumatra,holocene,1933 CE,5,5,837.0,2048.0,24619.0,1616500.0,1000,3281
1114,Suretamatai,Complex,Vanuatu,Melanesia and Australia,Vanuatu,holocene,1966 CE,13,13,68.0,3509.0,5555.0,9242.0,921,3022
1115,Suswa,Shield,Kenya,Africa and Red Sea,Africa (eastern),holocene,Unknown - Evidence Credible,1,1,474.0,4041.0,105232.0,6914644.0,2356,7730
1116,Suwanosejima,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,holocene,2022 CE,29,29,107.0,107.0,325.0,1966.0,796,2612
1117,Ta'u,Shield,United States,New Zealand to Fiji,Samoan and Wallis Islands,holocene,Unknown - Evidence Credible,14,14,95.0,1154.0,1538.0,1538.0,931,3054
1118,Taal,Caldera,Philippines,Philippines and SE Asia,Luzon,holocene,2021 CE,14,14,717090.0,717090.0,2380326.0,24814047.0,311,1020
1119,Taapaca,Complex,Chile,South America,"Northern Chile, Bolivia and Argentina",holocene,320 BCE,18,18,3.0,87.0,1994.0,505369.0,5860,19226
1120,Taburete,Stratovolcano,El Salvador,México and Central America,El Salvador and Honduras,holocene,Unknown - Evidence Uncertain,13,13,11815.0,71829.0,581517.0,5543122.0,1172,3845
1121,Tacana,Stratovolcano,Mexico,México and Central America,Mexico,holocene,1986 CE,15,15,3032.0,20932.0,598594.0,4523701.0,4064,13333
1122,Tacora,Stratovolcano,Chile,South America,"Northern Chile, Bolivia and Argentina",holocene,Unknown - Unrest / Holocene,17,17,7.0,539.0,8757.0,411691.0,5980,19619
1123,Tafahi,Stratovolcano,Tonga,New Zealand to Fiji,Tonga Islands,holocene,Unknown - Evidence Uncertain,15,15,37.0,37.0,1706.0,1706.0,560,1837
1124,Taftan,Stratovolcano,Iran,Middle East and Indian Ocean,Middle East (eastern),holocene,Unknown - Evidence Credible,28,28,8.0,132.0,8118.0,191711.0,3940,12927
1127,Tahual,Stratovolcano,Guatemala,México and Central America,Guatemala,holocene,Unknown - Evidence Credible,14,14,10052.0,49010.0,449894.0,7570087.0,1716,5630
1129,Taisetsuzan,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Hokkaido,holocene,1739 CE,43,43,19.0,119.0,16391.0,1304267.0,2291,7516
1130,Tajumulco,Stratovolcano,Guatemala,México and Central America,Guatemala,holocene,Unknown - Evidence Credible,15,15,2398.0,71560.0,796805.0,5255535.0,4203,13789
1131,Takaharayama,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,4570 BCE,36,36,303.0,4572.0,381490.0,8750106.0,1795,5889
1134,Takuan Group,Compound,Papua New Guinea,Melanesia and Australia,Bougainville and Solomon Islands,holocene,Unknown - Evidence Credible,6,6,13.0,1177.0,62020.0,98513.0,2210,7251
1135,Talagabodas,Stratovolcano,Indonesia,Indonesia,Java,holocene,Unknown - Unrest / Holocene,7,7,7953.0,68266.0,2388005.0,24525517.0,2201,7221
1136,Talakmau,Complex,Indonesia,Indonesia,Sumatra,holocene,Unknown - Evidence Credible,0,0,75.0,3261.0,352639.0,2728121.0,2919,9577
1137,Talang,Stratovolcano,Indonesia,Indonesia,Sumatra,holocene,2007 CE,0,0,1593.0,18512.0,214975.0,3283153.0,2575,8448
1138,Tambo Quemado,Pyroclastic shield,Bolivia,South America,"Northern Chile, Bolivia and Argentina",holocene,Unknown - Evidence Credible,18,18,113.0,541.0,4293.0,48050.0,4215,13829
1139,Tambora,Stratovolcano,Indonesia,Indonesia,Lesser Sunda Islands,holocene,1967 CE,8,8,4156.0,11331.0,89006.0,1036033.0,2850,9350
1140,Tampomas,Stratovolcano,Indonesia,Indonesia,Java,holocene,Unknown - Evidence Credible,6,6,47404.0,194503.0,2301649.0,24709382.0,1684,5525
1143,Tandikat-Singgalang,Stratovolcano,Indonesia,Indonesia,Sumatra,holocene,1924 CE,0,0,130.0,38799.0,604282.0,4022932.0,2854,9364
1145,Tangkoko-Duasudara,Stratovolcano,Indonesia,Indonesia,Sulawesi,holocene,1880 CE,1,1,445.0,57792.0,135761.0,1227998.0,1334,4377
1146,Tangkuban Parahu,Stratovolcano,Indonesia,Indonesia,Java,holocene,2019 CE,6,6,100608.0,518822.0,5729309.0,32855731.0,2084,6837
1148,"Tara, Batu",Stratovolcano,Indonesia,Indonesia,Lesser Sunda Islands,holocene,2015 CE,7,7,207.0,207.0,207.0,455429.0,633,2077
1149,Tarakan,Pyroclastic cone,Indonesia,Indonesia,Halmahera,holocene,Unknown - Evidence Credible,1,1,18056.0,23570.0,85055.0,360761.0,318,1043
1150,Taranaki,Stratovolcano,New Zealand,New Zealand to Fiji,New Zealand,holocene,1800 CE,39,39,200.0,230.0,77381.0,104499.0,2518,8261
1151,Taryatu-Chulutu,Volcanic field,Mongolia,Kamchatka and Mainland Asia,Mongolia,holocene,2980 BCE,48,48,5602.0,5602.0,5602.0,29050.0,2326,7631
1152,Tat Ali,Shield,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,13,13,32.0,44.0,2130.0,100598.0,655,2149
1153,Tata Sabaya,Stratovolcano,Bolivia,South America,"Northern Chile, Bolivia and Argentina",holocene,Unknown - Evidence Credible,19,19,97.0,519.0,6266.0,40064.0,5430,17815
1154,Tatun Volcanic Group,Lava dome,Taiwan,"Japan, Taiwan, Marianas",Taiwan,holocene,648 CE,25,25,5084149.0,5084149.0,6735396.0,9862061.0,1120,3675
1156,Taupo,Caldera,New Zealand,New Zealand to Fiji,New Zealand,holocene,260 CE,38,38,21456.0,21456.0,26674.0,161966.0,760,2493
1157,Taveuni,Shield,Fiji,New Zealand to Fiji,Fiji Islands,holocene,1550 CE,16,16,692.0,3220.0,19186.0,146131.0,1241,4072
1158,Tavui,Caldera,Papua New Guinea,Melanesia and Australia,New Britain,holocene,4946 BCE,4,4,30373.0,30373.0,152530.0,259182.0,200,656
1160,Tecapa,Stratovolcano,El Salvador,México and Central America,El Salvador and Honduras,holocene,Unknown - Evidence Credible,13,13,37337.0,80502.0,590144.0,5599535.0,1593,5226
1161,Tecuamburro,Stratovolcano,Guatemala,México and Central America,Guatemala,holocene,960 BCE,14,14,1939.0,29560.0,313834.0,6874746.0,1845,6053
1162,Telica,Stratovolcano,Nicaragua,México and Central America,Nicaragua,holocene,2022 CE,12,12,1079.0,21990.0,327294.0,2982538.0,1036,3399
1163,Telomoyo,Stratovolcano,Indonesia,Indonesia,Java,holocene,Unknown - Evidence Credible,7,7,38661.0,166844.0,2794587.0,25617237.0,1864,6115
1164,"Telong, Bur ni",Stratovolcano,Indonesia,Indonesia,Sumatra,holocene,1937 CE,4,4,1342.0,25733.0,125812.0,1631846.0,2617,8586
1166,Tenduruk Dagi,Shield,Turkey,Mediterranean and Western Asia,Turkey,holocene,1855 CE,39,39,550.0,5060.0,173581.0,1938900.0,3514,11529
1168,Tengchong,Pyroclastic cone,China,Philippines and SE Asia,Southeast Asia,holocene,5750 BCE,25,25,153375.0,153375.0,419814.0,2932117.0,2865,9400
1169,Tengger Caldera,Stratovolcano,Indonesia,Indonesia,Java,holocene,2021 CE,7,7,27826.0,69451.0,1420878.0,22628278.0,2329,7641
1170,Tenorio,Stratovolcano,Costa Rica,México and Central America,Costa Rica,holocene,Unknown - Evidence Credible,10,10,436.0,11670.0,92344.0,943351.0,1916,6286
1171,Teon,Stratovolcano,Indonesia,Indonesia,Banda Sea,holocene,1904 CE,6,6,19.0,102.0,102.0,2045.0,728,2388
1172,Tepi,Shield,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Unrest / Holocene,7,7,63395.0,63395.0,207121.0,1629787.0,2728,8950
1173,Terceira,Stratovolcano,Portugal,Atlantic Ocean,Azores,holocene,2000 CE,38,38,2928.0,12299.0,55425.0,81512.0,1023,3356
1178,Ticsani,Lava dome,Peru,South America,Peru,holocene,1800 CE,16,16,48.0,977.0,18160.0,227639.0,5408,17743
1179,Tidore,Stratovolcano,Indonesia,Indonesia,Halmahera,holocene,Unknown - Evidence Credible,0,0,37379.0,74120.0,320483.0,530066.0,1730,5676
1180,Tigalalu,Stratovolcano,Indonesia,Indonesia,Halmahera,holocene,Unknown - Evidence Credible,0,0,621.0,2350.0,7396.0,422007.0,422,1385
1181,"Tigre, El",Stratovolcano,El Salvador,México and Central America,El Salvador and Honduras,holocene,Unknown - Evidence Credible,13,13,24354.0,112718.0,786750.0,5456104.0,1640,5381
1182,"Tigre, Isla del",Stratovolcano,Honduras,México and Central America,El Salvador and Honduras,holocene,Unknown - Evidence Credible,13,13,5000.0,9983.0,156692.0,2725661.0,774,2539
1183,Tilocalar,Lava cone,Chile,South America,"Northern Chile, Bolivia and Argentina",holocene,Unknown - Evidence Uncertain,23,23,5.0,9.0,487.0,6154.0,3109,10200
1186,Tinguiririca,Stratovolcano,Chile,South America,Central Chile and Argentina,holocene,1917 CE,34,34,10.0,47.0,1883.0,881383.0,4280,14042
1191,Toba,Caldera,Indonesia,Indonesia,Sumatra,holocene,Unknown - Evidence Credible,2,2,125908.0,125908.0,168995.0,3437177.0,2157,7077
1192,Tobaru,Stratovolcano,Indonesia,Indonesia,Halmahera,holocene,Unknown - Evidence Credible,1,1,215.0,5963.0,64388.0,532821.0,1035,3396
1193,Todoko-Ranu,Caldera,Indonesia,Indonesia,Halmahera,holocene,Unknown - Evidence Credible,1,1,366.0,10748.0,56900.0,631999.0,979,3212
1194,Todra Volcanic Field,Pyroclastic cone,Niger,Africa and Red Sea,Africa (northern),holocene,Unknown - Evidence Credible,17,17,362.0,362.0,927.0,146935.0,1780,5840
1195,Tofua,Caldera,Tonga,New Zealand to Fiji,Tonga Islands,holocene,2022 CE,19,19,1556.0,1556.0,1556.0,8789.0,515,1690
1197,Tokachidake,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Hokkaido,holocene,2004 CE,43,43,12.0,227.0,60382.0,1373264.0,2077,6814
1199,Tolhuaca,Stratovolcano,Chile,South America,Central Chile and Argentina,holocene,4000 BCE,38,38,82.0,494.0,13873.0,567185.0,2739,8986
1200,"Tolima, Nevado del",Stratovolcano,Colombia,South America,Colombia,holocene,1943 CE,4,4,1660.0,6563.0,441916.0,4258333.0,5215,17110
1201,Toliman,Stratovolcano,Guatemala,México and Central America,Guatemala,holocene,Unknown - Evidence Credible,14,14,5641.0,67361.0,703786.0,8130714.0,3158,10361
1202,Tolmachev Dol,Pyroclastic cone,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,holocene,300 CE,52,52,2.0,2.0,14.0,247676.0,1021,3350
1203,"Toluca, Nevado de",Stratovolcano,Mexico,México and Central America,Mexico,holocene,1350 BCE,19,19,126.0,1240.0,1626432.0,25247342.0,4680,15354
1204,Tomariyama [Golovnin],Caldera,Japan,Kuril Islands,Kuril Islands,holocene,1848 CE,43,43,1796.0,1796.0,2445.0,159344.0,535,1755
1205,Tombel Graben,Pyroclastic cone,Cameroon,Africa and Red Sea,Africa (western),holocene,Unknown - Evidence Credible,4,4,234623.0,234623.0,434892.0,4087423.0,500,1640
1206,Tondano Caldera,Caldera,Indonesia,Indonesia,Sulawesi,holocene,Unknown - Unrest / Holocene,1,1,321308.0,321308.0,903706.0,1558655.0,1202,3944
1207,Tongariro,Stratovolcano,New Zealand,New Zealand to Fiji,New Zealand,holocene,2012 CE,39,39,27.0,286.0,7591.0,81567.0,1978,6490
1210,Toshima,Stratovolcano,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,4550 BCE,34,34,330.0,331.0,13194.0,5285115.0,508,1667
1212,Towada,Caldera,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,915 CE,40,40,12366.0,12366.0,103631.0,2237010.0,1011,3317
1213,Toya,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Hokkaido,holocene,2001 CE,42,42,5723.0,36191.0,214565.0,3206914.0,733,2405
1214,Traitor's Head,Stratovolcano,Vanuatu,Melanesia and Australia,Vanuatu,holocene,1881 CE,18,18,207.0,380.0,7007.0,30651.0,817,2680
1215,Tralihue,Stratovolcano,Argentina,South America,Central Chile and Argentina,holocene,Unknown - Evidence Credible,38,38,43.0,385.0,4621.0,97456.0,2448,8031
1218,Tristan da Cunha,Shield,United Kingdom,Atlantic Ocean,Atlantic Ocean (southern),holocene,1962 CE,37,37,12.0,12.0,12.0,32.0,2060,6759
1219,"Trois Pitons, Morne",Complex,Dominica,West Indies,West Indies,holocene,920 CE,15,15,2493.0,29522.0,62348.0,687847.0,1387,4551
1220,Trolon,Lava dome,Argentina,South America,Central Chile and Argentina,holocene,Unknown - Evidence Uncertain,37,37,17.0,235.0,2539.0,65041.0,2360,7743
1221,Tromen Volcanic Plateau,Stratovolcano,Argentina,South America,Central Chile and Argentina,holocene,1822 CE,37,37,12.0,196.0,2928.0,47403.0,4114,13497
1222,Tronador,Stratovolcano,Chile,South America,Southern Chile and Argentina,holocene,Unknown - Evidence Uncertain,41,41,7.0,106.0,1293.0,380976.0,3478,11411
1224,Tskhouk-Karckar,Pyroclastic cone,Armenia,Mediterranean and Western Asia,Western Asia,holocene,3000 BCE,39,39,25.0,243.0,55696.0,1310712.0,3139,10299
1225,"Tujle, Cerro",Maar,Chile,South America,"Northern Chile, Bolivia and Argentina",holocene,Unknown - Evidence Credible,23,23,2.0,17.0,1968.0,5287.0,3550,11647
1226,Tullu Moye,Pyroclastic cone,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,1900 CE,8,8,11514.0,51976.0,546291.0,5565084.0,2343,7687
1228,Tungurahua,Stratovolcano,Ecuador,South America,Ecuador,holocene,2016 CE,1,1,476.0,20990.0,183640.0,1571744.0,5023,16480
1229,Tunkin Depression,Volcanic field,Russia,Kamchatka and Mainland Asia,Russia (southeastern),holocene,Unknown - Evidence Uncertain,51,51,431.0,431.0,6533.0,63490.0,1200,3937
1230,Tupungatito,Stratovolcano,Chile,South America,Central Chile and Argentina,holocene,1987 CE,33,33,612.0,923.0,6161.0,6169105.0,5660,18570
1231,Turrialba,Stratovolcano,Costa Rica,México and Central America,Costa Rica,holocene,2022 CE,10,10,1891.0,6867.0,672428.0,3390544.0,3340,10958
1232,Tutuila,Tuff cone,United States,New Zealand to Fiji,Samoan and Wallis Islands,holocene,440 CE,14,14,16653.0,49763.0,56239.0,67387.0,653,2142
1233,Tutupaca,Stratovolcano,Peru,South America,Peru,holocene,1802 CE,17,17,18.0,1125.0,21124.0,213931.0,5801,19032
1235,Tuzgle,Stratovolcano,Argentina,South America,"Northern Chile, Bolivia and Argentina",holocene,Unknown - Evidence Uncertain,24,24,42.0,217.0,4740.0,22953.0,5486,17999
1236,Ubehebe Craters,Maar,United States,Canada and Western USA,USA (California),holocene,150 BCE,37,37,18.0,94.0,262.0,15354.0,752,2467
1237,Ubinas,Stratovolcano,Peru,South America,Peru,holocene,2019 CE,16,16,180.0,1195.0,14607.0,1136785.0,5672,18609
1240,Udokan Plateau,Pyroclastic cone,Russia,Kamchatka and Mainland Asia,Russia (southeastern),holocene,220 BCE,56,56,12.0,12.0,62.0,4688.0,2180,7152
1242,Uinkaret Field,Volcanic field,United States,Canada and Western USA,USA (Arizona),holocene,1100 CE,36,36,92.0,92.0,170.0,149617.0,1555,5102
1244,Ulawun,Stratovolcano,Papua New Guinea,Melanesia and Australia,New Britain,holocene,2021 CE,5,5,30.0,1801.0,10577.0,61018.0,2334,7657
1246,Ulreung,Stratovolcano,South Korea,Kamchatka and Mainland Asia,Korea,holocene,2990 BCE,37,37,7399.0,9210.0,9210.0,9210.0,984,3228
1247,Umboi,Complex,Papua New Guinea,Melanesia and Australia,Northeast of New Guinea,holocene,Unknown - Evidence Credible,5,5,249.0,1127.0,5585.0,83275.0,1335,4380
1248,Ungaran,Stratovolcano,Indonesia,Indonesia,Java,holocene,Unknown - Evidence Credible,7,7,6705.0,110008.0,4595534.0,25639073.0,2050,6726
1249,Unnamed,Fissure vent,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,8,8,283786.0,283786.0,502586.0,5504017.0,1886,6188
1256,Unnamed,Submarine,Philippines,Philippines and SE Asia,North of Luzon,holocene,1854 CE,20,20,1.0,214.0,8699.0,13109.0,-24,-79
1262,Unzendake,Complex,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,holocene,1996 CE,32,32,6979.0,76424.0,444737.0,7313362.0,1483,4865
1263,Upolu,Shield,Samoa,New Zealand to Fiji,Samoan and Wallis Islands,holocene,Unknown - Evidence Credible,13,13,680.0,13753.0,144419.0,198677.0,1100,3609
1264,Uratman,Stratovolcano,Russia,Kuril Islands,Kuril Islands,holocene,Unknown - Evidence Credible,47,47,3.0,9.0,20.0,33.0,678,2224
1267,Usulutan,Stratovolcano,El Salvador,México and Central America,El Salvador and Honduras,holocene,Unknown - Evidence Credible,13,13,22940.0,154864.0,610124.0,5434637.0,1449,4754
1270,Vaiyots-Sar,Pyroclastic cone,Armenia,Mediterranean and Western Asia,Western Asia,holocene,2000 BCE,39,39,31477.0,31477.0,57079.0,1465950.0,2575,8448
1271,Vakinankaratra,Pyroclastic cone,Madagascar,Middle East and Indian Ocean,Indian Ocean (western),holocene,Unknown - Evidence Credible,19,19,123192.0,123192.0,413328.0,5184370.0,2644,8675
1272,"Valle, El",Stratovolcano,Panama,México and Central America,Panama,holocene,Unknown - Evidence Uncertain,8,8,1544.0,7458.0,131928.0,2108003.0,1185,3888
1276,Vestmannaeyjar,Submarine,Iceland,Iceland and Arctic Ocean,Iceland (southern),holocene,1973 CE,63,63,1685.0,1685.0,2188.0,17538.0,283,928
1277,Vesuvius,Stratovolcano,Italy,Mediterranean and Western Asia,Italy,holocene,1944 CE,40,40,19162.0,675705.0,3907941.0,6009961.0,1281,4203
1278,Victory,Stratovolcano,Papua New Guinea,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,holocene,1935 CE,9,9,16.0,96.0,14042.0,116816.0,1925,6316
1279,Villarrica,Stratovolcano,Chile,South America,Central Chile and Argentina,holocene,2021 CE,39,39,477.0,1067.0,35118.0,667788.0,2847,9341
1281,Visoke,Stratovolcano,DR Congo,Africa and Red Sea,Africa (central),holocene,1957 CE,1,1,17165.0,88356.0,1162209.0,10953315.0,3696,12126
1283,Vitim Volcanic Field,Pyroclastic cone,Russia,Kamchatka and Mainland Asia,Russia (southeastern),holocene,Unknown - Evidence Credible,53,53,669.0,669.0,669.0,10035.0,1250,4101
1287,Vulcano,Stratovolcano,Italy,Mediterranean and Western Asia,Italy,holocene,1890 CE,38,38,2259.0,23059.0,86766.0,2093800.0,500,1640
1288,Vulsini,Caldera,Italy,Mediterranean and Western Asia,Italy,holocene,104 BCE,42,42,71789.0,71789.0,195475.0,4627250.0,800,2625
1290,Waiowa,Pyroclastic cone,Papua New Guinea,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,holocene,1944 CE,9,9,61.0,338.0,10041.0,137492.0,640,2100
1291,Wallis Islands,Shield,France,New Zealand to Fiji,Samoan and Wallis Islands,holocene,Unknown - Evidence Credible,13,13,6897.0,15214.0,15342.0,15342.0,143,469
1293,Wapi Lava Field,Shield,United States,Canada and Western USA,USA (Idaho),holocene,300 BCE,42,42,6.0,6.0,1394.0,172539.0,1604,5262
1294,Washiba-Kumonotaira,Shield,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,Unknown - Evidence Credible,36,36,53.0,215.0,104826.0,4446247.0,2924,9593
1295,"Watt, Morne",Stratovolcano,Dominica,West Indies,West Indies,holocene,1997 CE,15,15,1818.0,35821.0,63178.0,545352.0,1224,4016
1296,Wells Gray-Clearwater,Pyroclastic cone,Canada,Canada and Western USA,Canada,holocene,1550 CE,52,52,716.0,716.0,716.0,18280.0,2576,8451
1297,West Crater,Volcanic field,United States,Canada and Western USA,USA (Washington),holocene,5750 BCE,45,45,505.0,505.0,14359.0,2225092.0,1329,4360
1298,West Eifel Volcanic Field,Maar,Germany,Mediterranean and Western Asia,Western Europe,holocene,8300 BCE,50,50,94991.0,94991.0,232256.0,7945412.0,600,1969
1302,Whakaari/White Island,Stratovolcano,New Zealand,New Zealand to Fiji,New Zealand,holocene,2019 CE,37,37,5.0,5.0,5.0,190290.0,294,965
1303,Whangarei,Pyroclastic cone,New Zealand,New Zealand to Fiji,New Zealand,holocene,Unknown - Evidence Uncertain,35,35,51419.0,51419.0,62244.0,145873.0,397,1302
1304,Wilis,Stratovolcano,Indonesia,Indonesia,Java,holocene,Unknown - Evidence Credible,7,7,514.0,5376.0,2150615.0,21455776.0,2563,8409
1305,Witori,Caldera,Papua New Guinea,Melanesia and Australia,New Britain,holocene,2012 CE,5,5,24509.0,24509.0,37824.0,145382.0,724,2375
1306,Wolf,Shield,Ecuador,South America,Galapagos Islands,holocene,2022 CE,0,0,165.0,165.0,237.0,1673.0,1710,5610
1309,Wudalianchi,Volcanic field,China,Kamchatka and Mainland Asia,China (eastern),holocene,1776 CE,48,48,57885.0,57885.0,136201.0,2164526.0,597,1959
1310,Wurlali,Stratovolcano,Indonesia,Indonesia,Banda Sea,holocene,1892 CE,7,7,219.0,365.0,720.0,901.0,868,2848
1311,Yakedake,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,1995 CE,36,36,995.0,2995.0,156542.0,4595286.0,2455,8054
1312,Yali,Lava dome,Greece,Mediterranean and Western Asia,Greece,holocene,Unknown - Evidence Credible,36,36,5.0,499.0,36517.0,430920.0,180,591
1313,Yangudi,Complex,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,10,10,33.0,795.0,11672.0,519635.0,1383,4537
1316,"Yar, Jabal",Volcanic field,Saudi Arabia,Middle East and Indian Ocean,Middle East (southern),holocene,1810 CE,17,17,292582.0,292582.0,574162.0,2204954.0,305,1001
1317,Yasur,Stratovolcano,Vanuatu,Melanesia and Australia,Vanuatu,holocene,2022 CE,19,19,3636.0,6068.0,24748.0,32427.0,361,1184
1318,Yate,Stratovolcano,Chile,South America,Southern Chile and Argentina,holocene,1090 CE,41,41,43.0,296.0,6135.0,315418.0,2187,7175
1319,Yavinsky,Stratovolcano,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,holocene,4050 BCE,51,51,30.0,595.0,1356.0,4813.0,646,2119
1320,"Yojoa, Lago",Volcanic field,Honduras,México and Central America,El Salvador and Honduras,holocene,7638 BCE,14,14,123374.0,123374.0,279991.0,3336190.0,1060,3478
1321,Yokoatejima,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,holocene,1835 CE,28,28,62.0,64.0,72.0,72351.0,495,1624
1322,Yokodake,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,1200 CE,36,36,1920.0,11751.0,484929.0,6385773.0,2480,8136
1323,Yonemaru-Sumiyoshiike,Maar,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,holocene,6200 BCE,31,31,18080.0,73354.0,923168.0,2959509.0,40,131
1324,Yoteizan,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Hokkaido,holocene,1050 BCE,42,42,205.0,19419.0,80006.0,2988960.0,1888,6194
1326,Yucamane,Stratovolcano,Peru,South America,Peru,holocene,1320 BCE,17,17,51.0,692.0,10396.0,467713.0,5495,18028
1327,Yufu-Tsurumi,Lava dome,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,holocene,867 CE,33,33,28543.0,139722.0,709942.0,7767905.0,1584,5197
1329,"Zacate Grande, Isla",Stratovolcano,Honduras,México and Central America,El Salvador and Honduras,holocene,Unknown - Evidence Credible,13,13,7059.0,11942.0,195736.0,3647832.0,640,2100
1330,Zaozan [Zaosan],Complex,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,1940 CE,38,38,632.0,4681.0,550409.0,4956958.0,1841,6040
1331,Zapatera,Shield,Nicaragua,México and Central America,Nicaragua,holocene,Unknown - Evidence Credible,11,11,136.0,2104.0,214864.0,2537550.0,629,2064
1333,Zavaritzki Caldera,Caldera,Russia,Kuril Islands,Kuril Islands,holocene,1957 CE,46,46,46.0,46.0,61.0,118.0,624,2047
1339,Zitacuaro-Valle de Bravo,Caldera,Mexico,México and Central America,Mexico,holocene,3050 BCE,19,19,231977.0,231977.0,490440.0,4838069.0,3500,11483
1340,Zubair Group,Shield,Yemen,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,2013 CE,15,15,7.0,7.0,7.0,671171.0,191,627
1341,Zukur,Shield,Yemen,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,14,14,508.0,922.0,1075.0,1472800.0,624,2047
1342,Zuni-Bandera,Volcanic field,United States,Canada and Western USA,USA (New Mexico),holocene,1170 BCE,34,34,18.0,18.0,246.0,54738.0,2550,8366
1374,Amiata,Lava dome,Italy,Volcanic Region,Italy,pleistocene,Pleistocene,42,42,24489.0,139023.0,1685378.0,10172750.0,1738,5702
1378,"Ananopa, Cerro",Volcanic field,Guatemala,Volcanic Region,Guatemala,pleistocene,Pleistocene,14,14,2.0,4.0,56.0,5933.0,386,1266
1416,"Azufres, Los",Caldera,Mexico,Volcanic Region,Mexico,pleistocene,Pleistocene,19,19,4310.0,4310.0,10056.0,211349.0,3400,11155
1425,Balagan-Tas,Pyroclastic cone,Russia,Volcanic Region,Russia (northeastern),pleistocene,Pleistocene,65,65,183.0,4389.0,258680.0,3465600.0,993,3258
1426,Balatukan,Compound,Philippines,Volcanic Region,Mindanao,pleistocene,Pleistocene,8,8,2.0,50.0,1438.0,104763.0,2450,8038
1436,Barus,Stratovolcano,Indonesia,Volcanic Region,Sumatra,pleistocene,Pleistocene,3,3,991688.0,991688.0,991688.0,12300349.0,1969,6460
1446,Berguent Volcanic Field,Lava dome,Morocco,Volcanic Region,Africa (northern),pleistocene,Pleistocene,33,33,214.0,2467.0,42623.0,1263142.0,1200,3937
